Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Event Group Management,Chrome 71.0.3578.98,,2019-01-21 16:11:56,2019-01-21 16:12:29,33.208s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Update,Chrome 71.0.3578.98,,2019-01-21 16:11:57,2019-01-21 16:12:29,31.909s,PASSED
"pk_Functions.CS_Login.LoginFun(findTestObject(null), ""http://192.168.0.190:8080/mof/#/"", findTestObject(""Login/Username""), findTestObject(""Login/Password""), ""AAttia"", ""123"", findTestObject(""Login/Login""))",Chrome 71.0.3578.98,,2019-01-21 16:11:57,2019-01-21 16:12:11,14.187s,PASSED
"click(findTestObject(""NE_SideMenu""))",Chrome 71.0.3578.98,,2019-01-21 16:12:11,2019-01-21 16:12:13,1.637s,PASSED
"click(findTestObject(""NE_EventGroupManagement""))",Chrome 71.0.3578.98,,2019-01-21 16:12:13,2019-01-21 16:12:13,0.103s,PASSED
"click(findTestObject(""Search""))",Chrome 71.0.3578.98,,2019-01-21 16:12:13,2019-01-21 16:12:14,0.608s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-21 16:12:14,2019-01-21 16:12:19,5.047s,PASSED
"pk_Functions.CS_SelectRecordFromWebtable_IPO.SelectRecordFromWebtableFun(""xpath"", ""//*[@id=""app-form""]//app-body//app-event-categories-management-layout//app-event-categories-management-list/p-panel//p-datatable/div/div[2]"", ""1"", 0, 3, 2)",Chrome 71.0.3578.98,,2019-01-21 16:12:19,2019-01-21 16:12:27,8.361s,PASSED
"pk_Functions.CS_AllPageData.AllPageDataFun(""Event Group Management/EventManagemntGPUpdate_Data"", ""Sheet1"", [ArabicDescription, EnglishDescription, Save, Back])",Chrome 71.0.3578.98,,2019-01-21 16:12:27,2019-01-21 16:12:29,1.297s,PASSED
